Date,AAPL,NVDA,MSFT,AMZN,META,AVGO,GOOGL,TSLA,GOOG,JPM,LLY,V,NFLX,XOM,MA,COST,WMT,PG,JNJ,HD,ORCL,ABBV,BAC,PLTR
9/30/2020,112.65,13.49,202,157.44,260.47,32.69,72.84,143,73.14,84.18,139.96,192.94,500.029999,27.64,328.78,327.15,43.5,122.82,130.04,247.51,55.56,71.62,21.45,9.5
10/1/2020,113.6,13.57,204.05,161.06,265.18,33.07,73.95,149.39,74.15,84.79,136.43,196.2,527.51,26.67,333.84,330.34,44.49,123.05,128.67,247.43,55.54,71.25,21.45,9.46
10/2/2020,109.94,13.02,198.03,156.25,258.52,32.01,72.35,138.36,72.58,85.6,137.3,194.38,503.059998,26.55,329.42,327.16,43.69,122.06,127.73,248.94,54.75,70.42,21.55,9.2
10/5/2020,113.32,13.6,202.05,159.96,263.21,32.85,73.7,141.89,73.95,87.41,138.64,196.38,520.65,27.16,333.72,330.45,44.09,123.18,129.47,251.42,55.43,71.9,21.92,9.03
10/6/2020,110.07,13.7,197.76,155,257.25,32.66,72.12,137.99,72.33,86.51,136.28,193.4,505.869995,26.88,328.06,330.24,43.73,123.37,127.75,246.4,55.38,70.23,21.7,9.9
10/7/2020,111.94,13.92,201.52,159.78,256.71,32.9,72.52,141.77,72.67,88.02,140.84,195.35,534.659973,26.97,334.35,334.54,43.81,124.34,129.16,252.04,56.61,71.2,22.15,10
10/8/2020,111.83,13.8,202.24,159.53,262.32,33.49,73.73,141.97,73.95,89.83,145.14,195.84,531.789978,28.39,335.96,336.45,43.95,125.18,130.05,253.58,56.89,71.42,22.47,10
10/9/2020,113.78,13.72,207.26,164.33,263.01,33.8,75.07,144.67,75.41,89.31,148.33,199.38,539.44,27.97,343,340.48,44.4,126.3,131.86,254.83,57.14,71.71,22.58,9.95
10/12/2020,121.01,14.18,212.63,172.15,274.25,34.31,77.76,147.43,78.09,90.41,146.07,199.14,539.809998,27.88,342.66,346.95,44.85,127.68,132.62,255.71,57.43,72.22,22.86,9.89
10/13/2020,117.8,14.21,214.04,172.18,274.63,34.23,77.89,148.88,78.21,88.94,141.9,197.14,554.09,27.55,336.63,350.82,45.47,127.44,129.58,258.78,56.97,71.82,22.21,9.47
10/14/2020,117.88,14.05,212.11,168.19,270.34,34.12,77.71,153.77,78.03,88.45,140.37,195.09,541.45,27.49,333.57,348.66,44.76,127.29,129.36,255.87,56.96,71.34,21.03,9.34
10/15/2020,117.42,13.93,210.96,166.93,265.26,34.09,77.31,149.63,77.6,89.77,138.78,192.53,541.94,27.73,329.55,347.04,44.94,127.1,128.56,256.27,56.55,70.64,21.5,9.91
10/16/2020,115.77,13.77,210.96,163.64,264.48,33.98,77.92,146.56,78.28,89.59,138.16,193.22,530.789978,27.45,330.36,351.61,45,127.6,129.36,256.38,56.33,71.5,21.58,9.71
10/19/2020,112.82,13.46,205.74,160.36,259.97,33.72,76.04,143.61,76.37,88.08,135.02,190.05,530.719971,26.9,322.84,346.1,44.45,125.4,126.05,252.88,55.71,69.88,21.12,9.57
10/20/2020,114.3,13.6,206.15,160.85,266.1,33.82,77.09,140.65,77.44,88.58,135.77,190.75,525.419983,27.13,322.88,348.63,44.74,125.91,126.26,254.93,55.83,69.83,21.49,9.27
10/21/2020,113.68,13.48,206.29,159.25,277.21,33.39,78.83,140.88,79.3,87.7,133.61,191.45,489.049988,26.69,324.54,348.18,44.9,126.59,125.71,253.57,55.75,68.7,21.41,9.2
10/22/2020,112.59,13.32,206.38,158.82,276.6,33.5,79.85,141.93,80.39,90.8,133.93,191.03,485.23,28.06,324.71,346.28,44.64,125.69,126.72,250.58,55.77,69.88,22.14,9.68
10/23/2020,111.9,13.55,207.67,160.22,283.24,33.44,81.16,140.21,81.67,91.62,134.62,191.05,488.279999,27.5,320.83,345.22,44.73,126.52,126.86,252.22,55.97,69.9,22.17,9.49
10/26/2020,111.91,13.1,201.76,160.35,275.6,32.57,78.74,140.09,79.15,89.35,133.98,186.28,488.23999,26.85,309.59,341.63,44.2,125.56,125.75,246.02,53.72,69.55,21.85,9.95
10/27/2020,113.42,13.36,204.81,164.32,281.74,32.26,79.47,141.56,79.84,87.66,124.71,183.38,488.929993,26.42,308.66,343.48,44.42,126.5,125.03,246.73,53.33,68.55,21.23,10.95
10/28/2020,108.17,12.59,194.65,158.14,266.21,31.15,75.09,135.34,75.48,85.2,124.16,174.51,486.23999,25.41,283.62,336.33,43.54,122.32,120.85,240.39,51.94,66.71,20.89,10.85
10/29/2020,112.17,12.99,196.61,160.55,279.3,31.85,77.38,136.94,77.99,85.76,125.33,178.37,504.209991,26.54,285.37,336.89,43.51,122.24,119.83,240.31,52.34,66.86,20.96,10.75
10/30/2020,105.89,12.5,194.45,151.81,261.67,31.37,80.32,129.35,80.67,86.52,123.35,175.32,475.73999,26.26,280.95,330.2,43.14,121.83,119.76,237.71,52.43,70.53,21.1,10.13
11/2/2020,105.8,12.54,194.32,150.22,259.93,31.52,80.73,133.5,80.92,88.48,124.46,178.25,484.119995,27.36,282.25,336.45,43.66,123.07,121.14,241.3,52.74,73.14,21.44,10.54
11/3/2020,107.43,12.98,198.26,152.42,263.85,31.74,81.79,141.3,82.13,91.26,123.84,181.72,487.22,26.9,287.52,343.44,44.4,125.49,120.97,247.21,53.07,72.9,21.98,10.5
11/4/2020,111.81,13.75,207.82,162.06,285.81,32.71,86.77,140.33,87.05,88.48,140.49,187.15,496.95,26.75,299.02,347.33,44.14,124.97,121.76,251.98,52.78,78.32,21.08,10.72
11/5/2020,115.78,14.12,214.45,166.1,293.07,34.17,87.6,146.03,87.76,92.09,137.59,190.69,513.76,26.7,308.1,355.69,44.61,126.52,122.07,254.76,52.94,77.65,21.91,11.88
11/6/2020,115.65,14.52,214.86,165.57,291.81,34.15,87.46,143.32,87.68,90.87,134.96,191.49,514.72998,26.39,305.29,356.09,45.33,127.27,124.25,253.33,53.07,76.96,21.64,13.83
11/9/2020,113.34,13.59,209.74,157.19,277.25,33.69,87.55,140.42,87.74,103.17,134.58,205.2,470.5,29.73,335.38,337.01,44.63,122.62,127.59,240.61,53.11,78.84,24.71,14.67
11/10/2020,113,12.73,202.65,151.75,270.94,32.58,86.37,136.79,86.61,102.83,138.57,205.81,480.23999,30.39,325.86,338.51,45.26,124.63,129.51,245.6,52.95,81.94,24.62,14
11/11/2020,116.43,13.38,207.97,156.87,274.97,33.73,86.84,139.04,87.23,101.3,136.87,205.22,490.76,30.08,323.54,344.33,46.01,126.24,129.09,247.55,53.45,81.35,24.34,15.96
11/12/2020,116.16,13.42,206.91,155.51,273.58,33.21,86.62,137.25,87.08,100.05,134.03,201.24,486.769989,29.05,319.55,346.9,46.09,126.31,129.53,246.2,52.74,80.89,23.76,14.58
11/13/2020,116.21,13.26,207.94,156.44,275.44,33.51,88.08,136.17,88.44,100.68,135.31,203.39,482.839996,29.75,326.11,349.79,46.81,128.21,130.93,247.03,53.17,82.09,24.04,15.8
11/16/2020,117.22,13.47,208.63,156.55,277.44,34.17,88.17,136.03,88.65,103.52,133.61,205.53,479.1,31.46,326.52,350.67,47.4,126.56,131.76,249.17,53.4,81.52,24.55,15.93
11/17/2020,116.33,13.38,205.97,156.78,273.5,34.15,87.56,147.2,88.1,102.47,134.19,203.61,480.63,31.88,327.54,352.64,46.45,126.07,130.45,242.84,53.37,82.23,24.53,17.85
11/18/2020,115.01,13.39,203.25,155.27,270.49,34.15,86.51,162.21,86.93,101.71,133.21,200.83,481.79,30.68,326.99,352.92,46.36,124.14,128.72,240.49,52.56,81.82,24.02,17.9
11/19/2020,115.6,13.4,204.54,155.85,271.45,34.48,87.4,166.42,87.79,101.99,136.29,200.57,484.67,30.83,324.99,354.13,47.3,123.99,128.52,241.47,52.74,82.61,24.02,18.98
11/20/2020,114.34,13.05,202.59,154.97,268.23,34.39,86.3,163.2,86.7,101.11,138.27,197.01,488.23999,30.46,314.4,351.9,46.72,123.78,127.84,240.47,52.04,83.58,23.87,18.15
11/23/2020,110.93,13.1,202.32,154.92,266.97,34.72,85.86,173.95,86.34,104.03,136.26,201.14,476.619995,32.45,323.2,352.44,46.93,123.3,126.53,241.89,52.4,84.69,24.38,21.04
11/24/2020,112.22,12.92,205.93,155.9,275.41,35.19,87.67,185.13,88.03,108.84,137.71,202.61,482.88,34.61,333.27,354.76,47.06,122.9,126.53,243.59,53.79,86.16,25.8,23.82
11/25/2020,113.06,13.2,205.94,159.25,274.09,35.06,87.68,191.33,88.16,107.7,137.57,203.78,485,33.65,332.23,358.02,47.21,123.23,126.37,244.17,53.64,86.36,25.84,29.049999
11/27/2020,113.6,13.22,207.25,159.77,276.29,35.43,88.82,195.25,89.24,106.98,140.12,203.89,491.359985,33.14,330.04,358.61,47.14,123.17,126.65,245.98,53.97,86.93,25.81,27.66
11/30/2020,116,13.36,206.13,158.4,275.46,36.03,87.2,189.2,87.63,104.03,138.42,203.26,490.7,31.44,327.55,361.73,47.51,123.4,127.25,247.24,53.93,86.68,25.07,27.11
12/1/2020,119.58,13.35,208.19,161,284.99,36.3,89.23,194.92,89.49,105.68,138.34,204.08,504.579987,31.74,329.85,367.22,47.46,123.84,129.68,246.52,54.88,86.23,25.54,25.67
12/2/2020,119.93,13.5,207.38,160.18,285.95,36.22,90.7,189.61,90.97,107.71,137.96,203.1,503.38,32.93,331.16,363.37,46.8,122.95,130.29,242.94,55.2,87.02,25.87,22.51
12/3/2020,119.79,13.36,206.3,159.34,280.31,35.87,90.55,197.79,90.91,107,136.96,201.04,497.519989,33.15,326.21,354.42,46.42,122.04,131.05,240.28,55.38,86.81,25.9,24.03
12/4/2020,119.12,13.52,206.41,158.13,278.17,36.94,90.64,199.68,90.97,107.97,141.08,205.51,498.309998,34.36,335.18,353.83,46.3,122.16,132.16,236.56,56.02,88.91,26.24,23.85
12/7/2020,120.58,13.57,206.34,157.9,284.02,37.76,90.31,213.92,90.55,107.56,140.1,205.48,515.78,33.72,331.88,353.74,46.05,122.34,131.02,235.35,55.87,87.72,26.06,28.94
12/8/2020,121.2,13.31,208,158.86,281.85,37.99,90.03,216.63,90.51,107.67,141.89,205.6,512.659973,34.83,331.71,357.78,46.47,122.67,133.29,234.53,55.16,89.25,25.92,28.59
12/9/2020,118.66,12.9,203.95,155.21,276.4,37.34,88.36,201.49,88.79,106.83,150.16,202.52,493.6,35.29,327.88,354.64,46.1,121.21,134.65,237.99,55.81,90.07,25.8,26.629999
12/10/2020,120.08,12.94,202.71,155.07,275.61,36.79,87.86,209.02,88.36,106.14,153.01,200.61,501.089996,36.28,322.69,353.22,45.89,120.41,133.9,237.3,55.58,89.09,26.08,27.04
12/11/2020,119.28,12.98,205.35,155.82,272.06,36.41,88.21,203.33,88.67,105.52,152.1,199.29,503.22,36.11,318.7,355.41,45.88,121.3,134.52,237.07,56.63,88.14,25.59,27.2
12/14/2020,118.66,13.27,206.26,157.85,272.69,36.95,87.09,213.28,87.59,104.4,150.07,200.27,522.419983,34.81,322.33,354.73,45.45,120.72,131.11,237.99,56.77,86.36,25.28,27.24
12/15/2020,124.61,13.32,206.19,158.26,274.05,37.51,87.53,211.08,87.98,106.19,159.12,201.34,519.78,35.48,324.76,352.36,45.43,121.43,132.43,240.14,57.8,85.22,25.66,26.43
12/16/2020,124.54,13.21,211.15,162.05,274.17,38.12,87.34,207.59,87.74,106.5,163.51,201.25,524.83,36.03,323.25,350.05,45.39,121.98,131.64,241.58,58.66,86.73,25.73,25.92
12/17/2020,125.4,13.31,211.28,161.8,272.98,38.23,86.51,218.63,86.99,105.61,164.06,204.06,532.9,35.85,327.93,350.85,45.59,122.85,135.11,245.51,59.43,86.93,25.83,27.23
12/18/2020,123.41,13.24,210.48,160.08,274.89,39.32,85.8,231.67,86.15,105.09,162.89,204.19,534.45,35.23,331.27,347.74,45.55,123.55,135.89,242.35,60.79,86.57,25.68,25.969999
12/21/2020,124.95,13.3,214.34,160.31,271.3,38.81,86.21,216.62,86.56,109.04,160.4,201.97,528.909973,34.59,325.46,345.81,45.55,122.2,134.58,242.84,60.25,85.96,26.64,28.51
12/22/2020,128.5,13.24,215.64,160.33,265.63,39.19,85.5,213.45,85.78,107.38,158.45,198.9,527.33,34,323.39,343.03,45,121.34,134.32,241.99,60.87,85.2,26.17,28.04
12/23/2020,127.61,12.97,212.82,159.26,266.65,38.5,85.9,215.33,86.22,110.38,157.27,198.38,514.47998,34.44,320.46,342.9,44.7,121.15,133.63,241.78,61.01,85.6,26.92,28.69
12/24/2020,128.59,12.96,214.49,158.63,265.94,39.04,86.19,220.59,86.53,109.89,158.39,201.67,513.969971,34.3,327.05,345.44,44.78,122.38,134.1,242.77,60.7,85.58,26.84,27.75
12/28/2020,133.19,12.87,216.62,164.2,275.49,39.08,88.17,221.23,88.39,110.62,158.24,205.46,519.119995,34.41,335.3,351.58,45.32,123.23,134.73,241.28,60.61,85.74,26.99,25.629999
