Date,AAPL,NVDA,MSFT,AMZN,META,AVGO,GOOGL,TSLA,BRK.B,GOOG,JPM,LLY,V,NFLX,XOM,MA,COST,WMT,PG,JNJ,HD,ORCL,ABBV,BAC,PLTR
2020-08-18,112.41,12.22,202.63,165.62,260.91,29.21,77.33,125.81,208.33,77.57,85.97,144.77,192.01,491.869995,34.16,321.81,314.02,41.89,120.63,130.23,252.67,51.35,78.21,22.57,
2020-08-19,112.55,12.1,201.4,163.02,261.16,29.27,76.77,125.24,207.21,77.02,86.18,143.99,193.92,484.529999,33.78,323.17,314.16,41.17,119.98,130.49,250.78,52.3,78.58,22.54,
2020-08-20,115.05,12.1,206.08,164.87,267.54,29.23,78.34,133.46,206.12,78.72,85.14,143.09,196.97,497.899994,33.26,327.95,314.13,40.6,120.93,131.38,248.84,51.42,77.84,22.19,
2020-08-21,120.98,12.64,204.58,164.24,265.55,29.34,78.31,136.67,207.43,78.65,85.1,141.13,196.95,492.309998,33.01,327.74,317.58,40.93,121.45,132.54,251.11,51.36,77.56,22.08,
2020-08-24,122.42,12.68,205.23,165.37,269.91,29.69,78.79,134.28,212.61,79.04,87.5,141.37,199.15,488.809998,33.99,334.1,317.14,40.84,122.4,132.89,254.23,52.12,77.28,22.71,
2020-08-25,121.42,12.71,207.9,167.32,279.29,29.88,79.81,134.89,213.35,80.04,87.88,141.52,200.78,490.579987,32.91,338.01,317.67,40.62,122.89,132.81,253.68,52.2,76.91,22.99,
2020-08-26,123.07,12.73,212.39,172.09,302.25,30.2,81.72,143.54,214.66,82.23,86.65,141.13,202.87,547.53,32.21,341.27,317.26,40.64,122.29,133.02,258.82,53.5,77.15,22.6,
2020-08-27,121.6,12.59,217.61,170.0,291.62,30.15,80.94,149.25,216.87,81.34,89.5,140.85,203.61,526.27,31.99,346.11,319.19,42.48,122.14,133.62,255.89,53.21,77.11,23.03,
2020-08-28,121.4,13.1,219.85,170.09,292.06,30.66,81.48,147.56,218.55,81.84,89.87,139.31,208.13,523.89,32.76,355.95,321.04,43.63,122.63,134.19,253.82,53.86,77.0,23.25,
2020-08-31,125.52,13.33,216.6,172.55,291.6,30.87,80.99,166.11,218.04,81.33,87.61,140.3,204.54,529.559998,32.15,348.24,320.39,43.17,122.24,133.99,252.71,53.25,78.31,22.76,
2020-09-01,130.52,13.78,218.27,174.96,293.83,31.96,82.26,158.35,218.55,82.65,87.57,139.27,205.85,556.549988,31.74,346.99,323.82,45.89,122.11,132.34,253.51,53.66,75.42,22.73,
2020-09-02,127.82,14.3,222.48,176.57,300.85,33.34,85.36,149.12,221.68,86.01,88.89,141.4,208.87,552.84,31.55,350.68,330.71,45.92,124.17,134.36,255.97,54.93,76.82,23.0,
2020-09-03,117.58,12.98,208.7,168.4,289.53,31.3,80.99,135.67,218.15,81.71,88.61,140.9,201.61,525.75,31.48,334.29,320.98,44.94,122.18,130.62,244.76,53.14,75.12,22.84,
2020-09-04,117.66,12.58,205.77,164.73,281.19,32.27,78.59,139.44,218.32,79.18,90.52,142.69,197.47,516.049988,31.46,325.71,319.38,44.41,121.91,129.78,240.34,51.86,75.12,23.63,
2020-09-08,109.74,11.88,194.64,157.49,269.68,31.16,75.73,110.07,217.8,76.26,87.37,141.17,193.08,507.019989,30.74,320.72,312.28,43.05,120.13,128.62,239.98,51.48,73.77,22.68,
2020-09-09,114.12,12.68,202.92,163.43,272.23,32.01,76.9,122.09,219.63,77.49,88.2,143.69,196.89,500.19,30.55,330.21,319.26,43.5,122.08,130.75,246.91,53.0,74.92,22.71,
2020-09-10,110.39,12.27,197.24,158.76,266.63,31.75,75.85,123.78,217.8,76.24,87.29,138.25,194.45,480.67,29.79,323.64,312.9,42.54,120.8,128.32,243.04,53.35,73.3,22.38,
2020-09-11,108.94,12.13,195.95,155.81,265.16,31.98,75.34,124.24,217.93,75.69,88.38,140.02,193.62,482.029999,29.71,320.98,312.53,42.51,122.07,129.08,246.28,53.04,73.35,22.7,
2020-09-14,112.21,12.83,197.28,155.15,264.7,32.2,74.99,139.87,219.94,75.61,89.6,140.88,197.77,476.26,29.51,329.2,316.02,42.7,122.51,129.57,250.13,55.33,73.99,22.92,
2020-09-15,112.39,12.95,200.51,157.81,270.93,32.62,76.3,149.92,218.94,76.71,86.81,141.9,198.17,495.98999,29.2,329.72,316.93,42.71,122.51,130.05,254.52,56.71,74.33,22.51,
2020-09-16,109.07,12.48,196.93,153.9,262.08,32.63,75.15,147.25,219.59,75.7,87.18,142.73,197.92,483.859985,30.44,332.36,316.77,42.37,121.68,129.62,251.0,56.24,73.41,22.79,
2020-09-17,107.33,12.43,194.88,150.44,253.43,32.53,73.91,141.14,218.05,74.43,86.18,144.16,198.05,470.2,30.43,330.01,312.3,42.5,121.53,128.54,249.52,56.0,73.29,22.57,
2020-09-18,103.93,12.15,192.45,147.75,251.15,31.98,72.12,147.38,218.21,72.66,86.0,145.77,195.49,469.959991,29.94,325.95,309.61,42.07,121.39,130.3,245.26,55.6,73.68,22.44,
2020-09-21,107.08,12.48,194.52,148.02,246.8,31.56,71.08,149.8,213.02,71.23,83.34,142.94,190.51,487.35,29.33,318.75,312.93,42.62,120.81,126.74,242.73,56.6,72.85,21.78,
2020-09-22,108.76,12.6,199.21,156.45,253.36,32.44,72.56,141.41,214.16,72.93,82.43,141.69,193.51,491.17,28.6,326.0,317.43,43.01,121.91,125.96,243.59,56.41,72.45,21.31,
2020-09-23,104.2,12.09,192.65,149.99,247.66,31.55,70.05,126.79,209.61,70.43,81.09,141.65,188.5,470.609985,27.69,315.52,317.6,42.28,120.46,126.16,237.56,54.87,71.25,20.71,
2020-09-24,105.27,12.31,195.14,150.99,248.17,31.63,70.72,129.26,208.72,71.08,81.02,140.7,188.65,473.079987,27.63,319.1,319.78,42.51,121.0,126.36,236.81,55.18,70.25,20.78,
2020-09-25,109.22,12.84,199.59,154.76,253.43,32.01,71.52,135.78,210.45,71.91,81.73,142.07,190.32,482.88,27.89,322.57,315.71,42.68,121.61,127.22,239.35,55.65,70.51,20.91,
2020-09-28,111.82,13.0,201.15,158.7,255.42,32.95,72.5,140.4,213.54,72.89,84.09,140.03,193.28,490.649994,28.43,328.99,322.19,42.68,121.96,128.49,242.71,55.44,71.37,21.45,
2020-09-29,110.98,13.19,199.05,157.24,260.36,32.69,72.86,139.69,210.44,73.13,83.38,138.29,192.43,493.48,27.6,326.89,324.52,42.64,121.3,128.45,242.52,55.34,71.05,21.16,
2020-09-30,112.65,13.49,202.0,157.44,260.47,32.69,72.84,143.0,212.94,73.14,84.18,139.96,192.94,500.029999,27.64,328.78,327.15,43.5,122.82,130.04,247.51,55.56,71.62,21.45,9.5
2020-10-01,113.6,13.57,204.05,161.06,265.18,33.07,73.95,149.39,212.02,74.15,84.79,136.43,196.2,527.51,26.67,333.84,330.34,44.49,123.05,128.67,247.43,55.54,71.25,21.45,9.46
